movie_name,mpaa,mpaa_category,overall_Profanity,overall_Drug/Alcohol,overall_General,overall_Violence,overall_Sexual Content
House-of-Corpses,R,Adult,0.05211267605633803,0.012206572769953052,0.8342723004694835,0.08873239436619719,0.01267605633802817
Amelia,PG,Family-Friendly,0.005080693365212194,0.013747758517632994,0.9668260609683204,0.008368200836820083,0.005977286312014346
Foxcatcher,R,Adult,0.004897595725734639,0.01647373107747106,0.9390026714158504,0.036064113980409616,0.003561887800534283
Flight-Plan,G,Family-Friendly,0.009968102073365232,0.005980861244019139,0.9477671451355661,0.03508771929824561,0.0011961722488038277
Prom-Night,PG-13,Family-Friendly,0.009750812567713976,0.0065005417118093175,0.9393282773564464,0.030335861321776816,0.014084507042253521
Woodsman-The,R,Adult,0.020975832193342453,0.02188782489740082,0.9188326493388053,0.018695850433196534,0.0196078431372549
The-Parallax-View,R,Adult,0.01759899434318039,0.016027655562539284,0.9085480829666877,0.05405405405405406,0.003771213073538655
Star-Trek,PG-13,Family-Friendly,0.019469620678079894,0.004028197381671702,0.9083585095669687,0.06478684122188653,0.003356831151393085
Being-John-Malkovich,R,Adult,0.022988505747126436,0.011890606420927468,0.9286563614744352,0.019421323820848196,0.017043202536662704
The-Village-(originally-The-Woods),PG-13,Family-Friendly,0.000859106529209622,0.000859106529209622,0.9673539518900344,0.029209621993127148,0.001718213058419244
Matchstick-Men,PG-13,Family-Friendly,0.01122754491017964,0.03031437125748503,0.9412425149700598,0.01347305389221557,0.0037425149700598802
Town-The,R,Adult,0.021847345132743362,0.021294247787610618,0.8777654867256637,0.07411504424778761,0.00497787610619469
Terminator-2-Judgment-Day,R,Adult,0.012605042016806723,0.011029411764705883,0.7956932773109243,0.17725840336134455,0.0034138655462184874
Gone-in-60-Seconds,PG,Family-Friendly,0.015900621118012423,0.014161490683229814,0.9249689440993789,0.038012422360248446,0.006956521739130435
Batman-2,PG-13,Family-Friendly,0.008631319358816275,0.013871763255240444,0.8622071516646116,0.10542540073982737,0.009864364981504316
S1m0ne,PG-13,Family-Friendly,0.004421518054532056,0.009211495946941784,0.9631540162122328,0.013264554163596167,0.009948415622697125
Aliens-Vs-Predato,R,Adult,0.017537826685006877,0.005502063273727648,0.8390646492434664,0.1358321870701513,0.0020632737276478678
Moonlight,R,Adult,0.049276914836636314,0.027316550615961437,0.8826995179432244,0.023567220139260846,0.01713979646491698
One-Eight-Seven,R,Adult,0.037422713960299385,0.02050113895216401,0.8903351773511227,0.04685974617637488,0.0048812235600390495
Rabid,R,Adult,0.0045045045045045045,0.013513513513513514,0.8878878878878879,0.08808808808808809,0.006006006006006006
Zootopia,PG,Family-Friendly,0.004150943396226415,0.0030188679245283017,0.9433962264150944,0.04641509433962264,0.0030188679245283017
Psycho,R,Adult,0.0023464998044583495,0.005475166210402816,0.9640203363316386,0.02072741493938209,0.007430582714118107
Alone-in-the-Dark,R,Adult,0.004939209726443769,0.003419452887537994,0.8214285714285714,0.16869300911854104,0.001519756838905775
Prometheus,R,Adult,0.003381494005533354,0.0046111281893636644,0.8945588687365509,0.0919151552413157,0.005533353827236397
Peggy-Sue-Got-Married,PG-13,Family-Friendly,0.008831521739130434,0.016304347826086956,0.9551630434782609,0.007133152173913043,0.012567934782608696
Election,R,Adult,0.008699254349627174,0.008285004142502071,0.9598177299088649,0.005385252692626346,0.017812758906379452
Executive-Decision,R,Adult,0.013030528667163067,0.006329113924050633,0.8883097542814594,0.09195830230826507,0.00037230081906180194
Conquest-of-Paradise-1492,PG-13,Family-Friendly,0.003601440576230492,0.01640656262505002,0.9163665466186475,0.056022408963585436,0.007603041216486595
Star-Wars-Episode-I-The-Phantom-Menace,PG,Family-Friendly,0.005310321938267508,0.0023232658479920344,0.9226684367739795,0.06704281447062728,0.002655160969133754
Klute,R,Adult,0.006435006435006435,0.010296010296010296,0.9472329472329473,0.022737022737022737,0.013299013299013299
Thirteen-Days,PG-13,Family-Friendly,0.01406799531066823,0.005568581477139508,0.9604337631887456,0.019343493552168817,0.0005861664712778429
Shallow-Grave,R,Adult,0.004807692307692308,0.018543956043956044,0.9127747252747253,0.057005494505494504,0.006868131868131868
Planet-of-the-Apes-2001,PG-13,Family-Friendly,0.0017295053614666206,0.0017295053614666206,0.9010722933241093,0.09373919059149083,0.0017295053614666206
Working-Girl,R,Adult,0.017543859649122806,0.017543859649122806,0.958047292143402,0.002288329519450801,0.004576659038901602
Oceans-Eleven,PG-13,Family-Friendly,0.010992671552298468,0.007661558960692871,0.9437041972018654,0.03264490339773484,0.004996668887408394
Revolutionary-Road,R,Adult,0.014698677119059285,0.03478686918177364,0.932876041156296,0.009309162175404213,0.008329250367466928
Star-Wars-aka-Star-Wars-Episode-IV-A-New-Hope,PG,Family-Friendly,0.0016344320348678834,0.001362026695723236,0.920457640969763,0.07654590029964588,0.0
Midnight-Cowboy,NC-17,Adult,0.03283898305084746,0.021716101694915255,0.8771186440677966,0.03125,0.037076271186440676
From-Here-to-Eternity,NR,Adult,0.005119017148707448,0.02354747888405426,0.9119529050422319,0.052725876631686715,0.006654722293319683
Mechanic-The,R,Adult,0.00999118424919189,0.013517484572436086,0.8657067293564502,0.09726711724948575,0.013517484572436086
Killers-of-the-Flower-Moon,R,Adult,0.0035301668806161745,0.03305519897304236,0.9130295250320924,0.04621309370988447,0.00417201540436457
